gamma delta nu_max
5.607733130704461999e-01 4.322603588991789536e+00 3.362132678728434598e+01
4.559156508856316847e-01 3.193145504065113105e+00 6.833278300024271346e+01
4.670291902074217294e-01 3.651941217832187725e+00 9.231801909959143870e+01
5.240096991982827745e-01 4.089128320307807485e+00 1.436791739233524368e+01
5.024331422296146599e-01 3.949151769567945447e+00 1.280453586185446824e+01
5.300693885507242742e-01 4.101797977798382178e+00 3.504803363284906936e+01
4.265715344882592408e-01 2.977819571192904302e+00 4.764551820153004513e+01
4.762753700192874362e-01 3.707500363893804440e+00 8.913207753052432736e+00
4.963173169572365762e-01 3.525195273853336531e+00 5.795876139802167160e+01
5.427722232425625792e-01 4.020455318199265271e+00 7.610114975252605518e+01
4.126831307030802698e-01 3.299341279958207362e+00 8.903350036336041740e+01
3.044777224602273069e-01 3.384830431815431417e+00 1.980027398526765126e+00
3.336812201657548549e-01 2.729466371577919936e+00 4.832785574057862732e+01
4.844371568817102958e-01 3.592088244146732112e+00 7.224166349164860890e+01
3.497692730326147359e-01 2.949011855745937272e+00 5.762241160555161912e+01
5.017770936016647809e-01 3.862273056770550994e+00 1.042122701329626722e+01
5.267382151298737325e-01 4.041340147402222804e+00 4.977964994769757823e+01
5.149097397133182152e-01 3.950134875777809640e+00 1.907095868130888761e+01
5.300693885507242742e-01 4.101797977798382178e+00 3.504803363284906936e+01
4.554108904936797764e-01 3.662403216286323815e+00 6.027350230249873420e+01
5.366009805689939682e-01 3.922485596421251941e+00 3.556653330905427879e+01
4.449069109130012745e-01 3.439004919707670194e+00 5.843679171958965668e+01
5.060481700202669186e-01 3.736749803516676405e+00 8.323304157766904154e+01
5.357650454182337763e-01 3.957515922278739939e+00 5.197603946885930526e+01
3.832200252821327258e-01 3.888630454965670946e+00 2.009241827411067050e+00
3.768250791561005286e-01 2.998450931067618619e+00 5.318201793671659061e+01
5.382676017858427642e-01 3.967282996360578906e+00 7.239698895343560991e+01
5.201764604468739339e-01 3.947258811454054328e+00 6.736561935927254297e+01
5.431569654857949514e-01 4.071023736151214045e+00 7.034640648423918208e+01
3.986656020194039307e-01 3.395835910514168887e+00 1.069502974687746644e+01
4.298182541015524993e-01 2.870016055719725401e+00 3.161876235915684674e+00
5.515677692611057337e-01 4.131217676451647947e+00 5.191060023893484754e+01
3.910574947537477364e-01 3.215093078836833929e+00 9.286981711403048223e+01
4.830540831452254658e-01 3.418325903178131231e+00 5.465024784854102080e+01
5.461275189331624702e-01 4.079320610082494802e+00 6.636882260106578713e+01
3.658904939268756706e-01 3.308099197316851647e+00 3.483875074764965518e+01
5.519267650018340188e-01 4.167185554448007423e+00 4.264410780540784174e+01
5.519267650018340188e-01 4.167185554448007423e+00 4.264410780540784174e+01
4.711117009526657462e-01 3.704963251683205172e+00 8.570386940158552136e+01
4.902625927730608346e-01 3.473198731662676231e+00 2.928967101641515569e+01
4.571825576566799221e-01 3.733135981875449705e+00 2.167287844322770241e+01
4.301433021123604039e-01 3.542728110563694521e+00 4.788014077995488549e+01
4.055458968728737901e-01 3.488612390031023303e+00 4.312909025579135402e+01
5.293973336106410077e-01 3.911152117843253340e+00 9.733830186168303555e+01
4.669263301585568904e-01 3.673355564458345768e+00 3.960432889763836783e+01
4.174100933588689166e-01 3.496314551949653904e+00 4.507961881669633186e+01
5.463449819972334698e-01 4.094264446613022912e+00 1.798281111402135934e+01
4.902625927730608346e-01 3.473198731662676231e+00 2.928967101641515569e+01
3.920615903349535802e-01 2.734942704974270278e+00 7.461839661020690073e+00
3.425299078294430366e-01 3.286086242659273626e+00 1.746176146194778056e+01
5.183982108016722545e-01 3.841708599902551313e+00 4.277023919375215399e+01
4.128256177830498252e-01 3.253943780410523345e+00 4.977144977442313234e+01
4.092666853136495142e-01 3.393483859284979864e+00 2.463479309253315819e+01
4.757009601128696641e-01 3.648741674834826032e+00 5.726610777259492124e+01
5.035034230716814996e-01 3.722277775429292390e+00 1.177713985437519284e+01
5.404761204160917210e-01 4.036456768644294257e+00 6.021457084919624947e+01
4.915077425361442653e-01 3.577337374178073404e+00 7.532168253123181501e+01
3.684489732315174848e-01 3.008951519443157530e+00 1.008051929975428607e+02
